261198	0.00
751947	0.01
58340	0.00
74152	0.01
2013	0.00
11240	0.02
24044	0.12
53431	0.49
1	0.00
3408	0.58
1959	1.09
7480	11.22
1282	5.93
2255	39.99
0	0.00
512	40.52
