1596077.000000, 0.401732,3972992,na,6593,6368,134,na,na,na,na,na,na,na,na,na,1596077,na,na,na,na,na,na,na,340,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,91,75,na,na,na,na,na,7
1591982.000000, 0.404250,3938115,612114,5850,na,na,na,na,na,na,na,na,na,na,na,1591982,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,742782,0,612119,12150,na,na,na,na,na,na,na,7
1624273.000000, 0.393041,4132579,na,na,na,na,na,705551,na,1712810,na,na,na,na,0,1624273,na,1643473,na,28253,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1672920.000000, 0.395432,4230617,na,na,na,na,na,na,na,na,na,na,na,na,na,1672920,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,642339,na,na,2,256934,385404,385405,256936,na,na,na,na,na,na,na,na,na,na,na,7
1649011.000000, 0.392239,4204094,na,na,na,na,2685197,na,166053,na,na,na,na,na,na,1649011,na,na,na,na,na,na,na,na,na,na,na,na,563920,667771,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1634557.000000, 0.389048,4201428,na,na,na,na,na,na,na,na,na,na,870062,2,na,1634557,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,251032,na,na,na,na,na,na,na,na,na,na,na,na,1634359,na,7
1601966.000000, 0.405555,3950055,na,na,na,na,na,na,na,na,na,na,na,na,na,1601966,na,1493611,246556,26958,391,na,na,na,na,na,543,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1661233.000000, 0.397646,4177668,na,na,na,na,na,na,na,na,na,na,na,na,na,1661233,6683800,1537127,255672,24218,na,na,na,na,8715,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27720,7
1676223.000000, 0.397755,4214209,na,na,na,na,na,na,na,na,392,118,na,na,na,1676223,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,772333,na,na,na,na,na,na,na,na,na,na,na,na,0,650056,129800,na,na,7
1587340.000000, 0.399566,3972656,na,na,na,na,na,652432,na,1617315,na,na,na,na,0,1587340,na,1446353,na,24672,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1649155.000000, 0.397814,4145541,na,na,na,na,2607565,na,145222,na,na,na,na,na,na,1649155,na,na,na,na,na,na,na,na,na,na,na,na,557471,503515,53,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1594427.000000, 0.389940,4088905,na,na,na,na,na,na,na,na,463,160,na,na,na,1594427,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,734577,na,na,na,na,na,na,na,na,na,na,na,na,0,618746,123345,na,na,7
1618735.000000, 0.397952,4067666,na,14777,13578,894,na,na,na,na,na,na,na,na,na,1618735,na,na,na,na,na,na,na,631,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,92,75,na,na,na,na,na,7
1681981.000000, 0.383494,4385940,na,na,na,na,na,na,na,na,na,na,na,na,na,1681981,na,1730987,na,na,na,15653,16239,na,9004,31545,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,646735,na,na,na,na,na,na,na,na,7
1630768.000000, 0.398645,4090777,627026,11932,na,na,na,na,na,na,na,na,na,na,na,1630768,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,765828,0,627028,12621,na,na,na,na,na,na,na,7
1680486.000000, 0.359687,4672083,na,na,na,na,na,na,na,na,na,na,na,na,na,1680486,na,1589595,na,na,na,30538,53280,na,4633,68442,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,646166,na,na,na,na,na,na,na,na,7
1596077.000000, 0.397995,4010294,na,na,na,na,2557730,na,140910,na,na,na,na,na,na,1596077,na,na,na,na,na,na,na,na,na,na,na,na,540944,515236,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1592488.000000, 0.403054,3951054,na,15760,14796,773,na,na,na,na,na,na,na,na,na,1592488,na,na,na,na,na,na,na,56266,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,94,76,na,na,na,na,na,7
1624274.000000, 0.396436,4097193,na,na,na,na,na,na,na,na,783,401,na,na,na,1624274,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,748138,na,na,na,na,na,na,na,na,na,na,na,na,0,630481,125697,na,na,7
1674574.000000, 0.398592,4201219,na,na,na,na,na,na,na,na,na,na,na,na,na,1674574,na,1575158,na,na,na,10928,15012,na,8894,31530,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,643880,na,na,na,na,na,na,na,na,7
1646920.000000, 0.401367,4103280,na,na,na,na,na,611750,na,1699632,na,na,na,na,0,1646920,na,1497632,na,23097,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1634557.000000, 0.392393,4165613,na,na,na,na,na,na,na,na,na,na,na,na,na,1634557,6576669,1500822,251563,24568,na,na,na,na,9235,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,27576,7
1604257.000000, 0.396975,4041209,na,na,na,na,na,na,na,na,na,na,na,na,na,1604257,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,615051,na,na,1,246018,369034,369029,246019,na,na,na,na,na,na,na,na,na,na,na,7
1661233.000000, 0.394088,4215385,na,na,na,na,na,na,na,na,na,na,na,na,na,1661233,na,1576843,255658,24582,386,na,na,na,na,na,607,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1676222.000000, 0.393010,4265087,na,na,na,na,na,na,na,na,na,na,896048,2,na,1676222,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,257442,na,na,na,na,na,na,na,na,na,na,na,na,1676024,na,7
1587523.000000, 0.398888,3979873,na,na,na,na,na,na,na,na,836,371,na,na,na,1587523,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,731088,na,na,na,na,na,na,na,na,na,na,na,na,0,617118,123202,na,na,7
1649155.000000, 0.399263,4130502,na,na,na,na,na,735341,na,1644166,na,na,na,na,0,1649155,na,1644991,na,28019,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1596686.000000, 0.386404,4132170,na,na,na,na,na,na,na,na,na,na,845825,2,na,1596686,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,244858,na,na,na,na,na,na,na,na,na,na,na,na,1596488,na,7
1618047.000000, 0.397485,4070709,na,na,na,na,2584168,na,143432,na,na,na,na,na,na,1618047,na,na,na,na,na,na,na,na,na,na,na,na,623172,587447,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1684696.000000, 0.385043,4375342,647987,24632,na,na,na,na,na,na,na,na,na,na,na,1684696,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,806704,19288,647974,13499,na,na,na,na,na,na,na,7
1628915.000000, 0.399820,4074121,na,4571,4421,127,na,na,na,na,na,na,na,na,na,1628915,na,na,na,na,na,na,na,326,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,91,73,na,na,na,na,na,7
1680486.000000, 0.357616,4699131,na,na,na,na,na,na,na,na,na,na,na,na,na,1680486,na,1612738,na,na,na,31405,55230,na,4559,68384,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,646165,na,na,na,na,na,na,na,na,7
1596077.000000, 0.399092,3999274,na,na,na,na,2539469,na,134677,na,na,na,na,na,na,1596077,na,na,na,na,na,na,na,na,na,na,na,na,533033,504526,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1592670.000000, 0.402713,3954849,na,15567,14395,925,na,na,na,na,na,na,na,na,na,1592670,na,na,na,na,na,na,na,669,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,93,76,na,na,na,na,na,7
1626305.000000, 0.393166,4136436,na,na,na,na,na,na,na,na,1766,878,na,na,na,1626305,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,748141,na,na,na,na,na,na,na,na,na,na,na,na,0,633734,126152,na,na,7
1672920.000000, 0.401522,4166448,na,na,na,na,na,na,na,na,na,na,na,na,na,1672920,na,1555328,na,na,na,10815,14669,na,9081,31253,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,643250,na,na,na,na,na,na,na,na,7
1646920.000000, 0.401577,4101134,na,na,na,na,na,614464,na,1695029,na,na,na,na,0,1646920,na,1498957,na,22802,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1634557.000000, 0.392907,4160160,na,na,na,na,na,na,na,na,na,na,na,na,na,1634557,6571353,1500356,251584,24257,na,na,na,na,9210,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,29021,7
1601966.000000, 0.400670,3998219,na,na,na,na,na,na,na,na,na,na,na,na,na,1601966,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,615048,na,na,1,246018,369029,369028,246019,na,na,na,na,na,na,na,na,na,na,na,7
1661233.000000, 0.393860,4217831,na,na,na,na,na,na,na,na,na,na,na,na,na,1661233,na,1572796,255652,24578,427,na,na,na,na,na,601,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1678886.000000, 0.390632,4297874,na,na,na,na,na,na,na,na,na,na,888068,2,na,1678886,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,257442,na,na,na,na,na,na,na,na,na,na,na,na,1678688,na,7
1586835.000000, 0.400412,3963006,na,na,na,na,na,na,na,na,470,167,na,na,na,1586835,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,731077,na,na,na,na,na,na,na,na,na,na,na,na,0,615857,123059,na,na,7
1648467.000000, 0.400320,4117874,na,na,na,na,na,730521,na,1642705,na,na,na,na,0,1648467,na,1656915,na,28238,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1594426.000000, 0.388326,4105895,na,na,na,na,na,na,na,na,na,na,949398,2,na,1594426,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,244858,na,na,na,na,na,na,na,na,na,na,na,na,1594228,na,7
1618047.000000, 0.397737,4068130,na,na,na,na,2583011,na,149393,na,na,na,na,na,na,1618047,na,na,na,na,na,na,na,na,na,na,na,na,627972,579955,2,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1682669.000000, 0.388550,4330632,647142,15901,na,na,na,na,na,na,na,na,na,na,na,1682669,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,795921,17785,647143,13361,na,na,na,na,na,na,na,7
1628915.000000, 0.399364,4078777,na,6874,6406,443,na,na,na,na,na,na,na,na,na,1628915,na,na,na,na,na,na,na,301,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,86,74,na,na,na,na,na,7
1682269.000000, 0.357627,4703976,na,na,na,na,na,na,na,na,na,na,na,na,na,1682269,na,1599675,na,na,na,30739,53472,na,4885,68232,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,646835,na,na,na,na,na,na,na,na,7
1596077.000000, 0.399107,3999120,na,na,na,na,2543093,na,121363,na,na,na,na,na,na,1596077,na,na,na,na,na,na,na,na,na,na,na,na,548513,511211,1,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1591982.000000, 0.404098,3939589,na,6828,6206,502,na,na,na,na,na,na,na,na,na,1591982,na,na,na,na,na,na,na,127714,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,89,74,na,na,na,na,na,7
1623768.000000, 0.397087,4089201,na,na,na,na,na,na,na,na,483,165,na,na,na,1623768,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,748123,na,na,na,na,na,na,na,na,na,na,na,na,0,630336,125707,na,na,7
1672920.000000, 0.400921,4172688,na,na,na,na,na,na,na,na,na,na,na,na,na,1672920,na,1595405,na,na,na,10971,15896,na,8926,31422,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,643251,na,na,na,na,na,na,na,na,7
1646920.000000, 0.400959,4107456,na,na,na,na,na,600783,na,1705099,na,na,na,na,0,1646920,na,1503637,na,22719,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1634557.000000, 0.392929,4159931,na,na,na,na,na,na,na,na,na,na,na,na,na,1634557,6584618,1502314,251548,24675,na,na,na,na,9148,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,26471,7
1604226.000000, 0.396378,4047210,na,na,na,na,na,na,na,na,na,na,na,na,na,1604226,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,615048,na,na,1,246018,369029,369028,246019,na,na,na,na,na,na,na,na,na,na,na,7
1661233.000000, 0.393685,4219703,na,na,na,na,na,na,na,na,na,na,na,na,na,1661233,na,1561890,255661,23961,413,na,na,na,na,na,605,4,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1676910.000000, 0.392548,4271855,na,na,na,na,na,na,na,na,na,na,890297,2,na,1676910,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,1,2,257442,na,na,na,na,na,na,na,na,na,na,na,na,1676712,na,7
1586835.000000, 0.400457,3962565,na,na,na,na,na,na,na,na,440,121,na,na,na,1586835,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,731077,na,na,na,na,na,na,na,na,na,na,na,na,0,616183,122894,na,na,7
1651429.000000, 0.397526,4154262,na,na,na,na,na,732160,na,1666829,na,na,na,na,0,1651429,na,1649687,na,28243,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1595114.000000, 0.388811,4102545,na,na,na,na,na,na,na,na,na,na,838990,2,na,1595114,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,244862,na,na,na,na,na,na,na,na,na,na,na,na,1594916,na,7
1620307.000000, 0.394026,4112180,na,na,na,na,2611579,na,151233,na,na,na,na,na,na,1620307,na,na,na,na,na,na,na,na,na,na,na,na,619115,588652,26,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1681981.000000, 0.389891,4313978,646732,7573,na,na,na,na,na,na,na,na,na,na,na,1681981,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,786882,0,646737,13309,na,na,na,na,na,na,na,7
1629421.000000, 0.398133,4092658,na,14592,13908,547,na,na,na,na,na,na,na,na,na,1629421,na,na,na,na,na,na,na,571,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,93,74,na,na,na,na,na,7
1680486.000000, 0.358265,4690621,na,na,na,na,na,na,na,na,na,na,na,na,na,1680486,na,1601734,na,na,na,30686,53058,na,4784,68423,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,646165,na,na,na,na,na,na,na,na,7
1596077.000000, 0.398479,4005422,na,na,na,na,2554515,na,125805,na,na,na,na,na,na,1596077,na,na,na,na,na,na,na,na,na,na,na,na,530903,528305,3,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1591982.000000, 0.404567,3935027,na,6765,6275,470,na,na,na,na,na,na,na,na,na,1591982,na,na,na,na,na,na,na,388,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,87,74,na,na,na,na,na,7
1623768.000000, 0.397510,4084848,na,na,na,na,na,na,na,na,474,173,na,na,na,1623768,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,748123,na,na,na,na,na,na,na,na,na,na,na,na,0,630263,125740,na,na,7
1672920.000000, 0.383690,4360086,na,na,na,na,na,na,na,na,na,na,na,na,na,1672920,na,1605300,na,na,na,10987,14505,na,9027,31311,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,643249,na,na,na,na,na,na,na,na,7
1646920.000000, 0.401265,4104315,na,na,na,na,na,628009,na,1688940,na,na,na,na,0,1646920,na,1504060,na,22861,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1636997.000000, 0.388934,4208928,na,na,na,na,na,na,na,na,na,na,na,na,na,1636997,6592824,1507706,251993,24538,na,na,na,na,9342,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,30873,7
1601966.000000, 0.400076,4004159,na,na,na,na,na,na,na,na,na,na,na,na,na,1601966,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,615049,na,na,1,246018,369029,369028,246019,na,na,na,na,na,na,na,na,na,na,na,7
1663743.000000, 0.391643,4248106,na,na,na,na,na,na,na,na,na,na,na,na,na,1663743,na,1560294,256077,24434,533,na,na,na,na,na,602,6,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1676222.000000, 0.393258,4262399,na,na,na,na,na,na,na,na,na,na,890437,2,na,1676222,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,257442,na,na,na,na,na,na,na,na,na,na,na,na,1676024,na,7
1586835.000000, 0.400292,3964189,na,na,na,na,na,na,na,na,497,168,na,na,na,1586835,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,731073,na,na,na,na,na,na,na,na,na,na,na,na,0,615896,122975,na,na,7
1648467.000000, 0.401236,4108470,na,na,na,na,na,718903,na,1631486,na,na,na,na,0,1648467,na,1644281,na,28147,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,7
1594426.000000, 0.390751,4080419,na,na,na,na,na,na,na,na,na,na,847337,2,na,1594426,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0,1,244858,na,na,na,na,na,na,na,na,na,na,na,na,1594228,na,7
